,userId,movieId,rating
0,114,0671027360,10
1,114,0451208080,8
2,114,0446608653,9
3,114,0446612545,9
4,114,0553584383,9
5,243,0316601950,9
6,243,0375400117,10
7,243,0316899984,7
8,243,0425163407,9
9,243,0060915544,10
10,243,0060977493,7
11,243,0446364800,9
12,243,0316776963,9
13,243,0553580388,8
14,243,0385720106,7
15,243,044023722X,7
16,244,0525947647,9
17,244,0060977493,7
18,244,0804111359,8
19,244,0060987103,8
20,244,0151008116,9
21,254,0064471047,7
22,254,0671021001,7
23,254,0380789035,10
24,254,0142001740,9
25,254,0380973650,9
26,254,0439064864,9
27,254,0451526341,8
28,254,0060934700,9
29,254,0618002227,8
30,254,0618002219,9
31,254,0399146431,9
32,254,0380730448,8
33,254,0439136350,9
34,254,0679879242,8
35,254,0439064872,9
36,254,0451167317,8
37,254,0553280325,8
38,254,0451524934,9
39,254,0451409256,7
40,254,0590353403,9
41,254,0439139597,9
42,254,0439136369,9
43,503,068484267X,10
44,503,0140179836,10
45,503,1558743669,10
46,503,0385496095,10
47,503,0440241006,10
48,505,0805056491,9
49,505,0671868713,8
50,505,0345313860,7
51,505,042517736X,7
52,505,006017143X,9
53,507,0553583441,7
54,507,0553583468,7
55,507,0743260244,10
56,507,0821772953,8
57,507,0140230165,7
58,507,0553564528,7
59,507,0142001740,10
60,507,0451184718,9
61,507,0689711522,10
62,507,0689710887,10
63,507,0553576801,7
64,507,0679893105,9
65,507,0689710879,10
66,507,055357695X,7
67,507,0553575538,7
68,638,0446525502,9
69,638,0679746048,7
70,638,0446523569,10
71,638,0446527793,10
72,638,0679442790,10
73,638,0316666343,10
74,638,0151001006,10
75,638,0316693006,10
76,638,0679732241,9
77,638,0425184129,9
78,638,0316969443,10
79,638,0385420161,9
80,638,1558747028,10
81,638,0316603287,9
82,638,0385505833,10
83,638,0345339711,10
84,638,0316789089,10
85,638,0446525537,9
86,638,0316776963,10
87,638,0743406176,10
88,638,0316779490,9
89,638,0671042556,9
90,638,0670892963,7
91,638,0316779423,10
92,638,0316693200,9
93,638,0609606727,8
94,638,0743230051,9
95,638,0446531332,10
96,638,0385504209,10
97,638,0316769487,10
98,643,0671894455,7
99,643,2253063339,10
100,643,0061092606,8
101,643,2253140872,8
102,643,0743222229,8
103,805,0316777730,7
104,805,0060256672,10
105,805,0156027321,9
106,805,0679732764,10
107,805,0440215625,8
108,805,0060928336,7
109,805,0553268449,8
110,805,039592720X,9
111,805,0452282152,8
112,805,0877733759,10
113,805,014016930X,10
114,805,0671003755,8
115,805,038001503X,10
116,805,0140077022,10
117,882,0425179672,10
118,882,0553572997,10
119,882,0553280589,10
120,882,067976402X,10
121,882,0064401847,10
122,882,0517556278,8
123,882,0553250426,10
124,882,0679429220,9
125,882,0373484224,7
126,882,0380018179,10
127,882,0553205587,9
128,882,0385504209,10
129,882,0440235162,10
130,929,0671617028,8
131,929,0312140940,8
132,929,0671461494,8
133,929,0385314744,7
134,929,0439404371,8
135,929,0553296981,10
136,929,0894803700,8
137,1025,068484267X,9
